dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Neural vs GT,24.48293685913086,24.53582763671875,1.4996256828308105
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Neural vs Analytical,24.54025650024414,24.579185485839844,1.4996795654296875
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Analytical vs GT,52.987632751464844,55.59798812866211,14.702844619750977
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Neural vs GT,24.132701873779297,24.211774826049805,1.4629642963409424
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Neural vs Analytical,24.167461395263672,24.284465789794922,1.4784114360809326
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Analytical vs GT,49.369659423828125,52.51150894165039,13.567855834960938
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Neural vs GT,23.713905334472656,23.9330997467041,1.4871835708618164
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.1,Neural vs Analytical,23.852380752563477,24.023300170898438,1.4936034679412842
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Analytical vs GT,39.2676887512207,38.86896896362305,6.470126628875732
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Neural vs GT,22.37609100341797,22.47347640991211,1.3048887252807617
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.15,Neural vs Analytical,22.69610595703125,22.800765991210938,1.4298241138458252
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Analytical vs GT,31.684829711914062,31.465961456298828,4.060901165008545
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Neural vs GT,21.4951114654541,21.590242385864258,1.3249893188476562
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.2,Neural vs Analytical,22.186241149902344,22.41303253173828,1.716141700744629
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.25,Analytical vs GT,26.64661407470703,27.015148162841797,3.213294267654419
CIFAR10,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.25,Neural vs GT,20.9530029296875,20.83749771118164,1.2755796909332275
