dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Neural vs GT,11.484768867492676,11.63843059539795,1.8697608709335327
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.8,Neural vs Analytical,25.43927764892578,24.887622833251953,2.8615729808807373
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Analytical vs GT,11.293457984924316,11.56024169921875,1.8747793436050415
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Neural vs GT,11.234857559204102,11.445202827453613,1.9321482181549072
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,0.9,Neural vs Analytical,25.174345016479492,25.30319595336914,2.3346846103668213
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Analytical vs GT,10.78115463256836,11.064923286437988,1.9433099031448364
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Neural vs GT,10.716318130493164,10.961935997009277,1.982250690460205
FashionMNIST,10000,LocalEquivUNet2dCondModel,inpainting_center_15,False,True,1.0,Neural vs Analytical,25.99916648864746,25.768413543701172,2.6771652698516846
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Analytical vs GT,79.99998474121094,78.99615478515625,3.685967445373535
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Neural vs GT,28.966800689697266,29.1155948638916,3.1887383460998535
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.01,Neural vs Analytical,28.966651916503906,29.116140365600586,3.189502716064453
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Analytical vs GT,79.99618530273438,75.75144958496094,8.172335624694824
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Neural vs GT,27.535015106201172,27.602827072143555,3.0091614723205566
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.02,Neural vs Analytical,27.535015106201172,27.605552673339844,3.011814832687378
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Analytical vs GT,77.21912384033203,70.49008178710938,12.182178497314453
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Neural vs GT,26.275978088378906,26.61042022705078,2.920285940170288
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.03,Neural vs Analytical,26.275972366333008,26.617053985595703,2.92175555229187
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Analytical vs GT,60.63558578491211,62.56839370727539,14.11012077331543
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Neural vs GT,25.520349502563477,25.78304672241211,2.7351338863372803
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.04,Neural vs Analytical,25.526412963867188,25.81487274169922,2.7567529678344727
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Analytical vs GT,53.00426483154297,54.822113037109375,14.289875984191895
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Neural vs GT,25.34550666809082,25.163768768310547,2.7072010040283203
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.05,Neural vs Analytical,25.580881118774414,25.257953643798828,2.768981456756592
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Analytical vs GT,43.77021789550781,46.762969970703125,11.342263221740723
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Neural vs GT,24.415061950683594,24.527341842651367,2.549990177154541
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.06,Neural vs Analytical,24.530990600585938,24.677940368652344,2.65740704536438
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Analytical vs GT,39.598838806152344,42.48514175415039,8.99521255493164
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Neural vs GT,23.603139877319336,23.999670028686523,2.4241223335266113
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.07,Neural vs Analytical,23.847322463989258,24.228042602539062,2.544107437133789
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Analytical vs GT,37.601993560791016,38.29035949707031,7.132312774658203
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Neural vs GT,23.802364349365234,23.5638484954834,2.3584327697753906
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.08,Neural vs Analytical,24.071378707885742,23.908769607543945,2.4989659786224365
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Analytical vs GT,33.006675720214844,34.565757751464844,5.87012243270874
FashionMNIST,10000,LocalEquivUNet2dCondModel,convolution_gaussian_1.0,False,True,0.09,Neural vs GT,23.10131072998047,23.259689331054688,2.2753851413726807
