dataset,dataset_size,model,operator,inform,on_train,sigma,series,median,mean,std
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.8,Neural vs GT,17.0118408203125,16.874168395996094,1.0479708909988403
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.8,Neural vs Analytical,30.68437957763672,30.615942001342773,2.333928346633911
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.9,Analytical vs GT,16.40802001953125,16.49707794189453,1.1349208354949951
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.9,Neural vs GT,16.361431121826172,16.407878875732422,1.1724344491958618
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,0.9,Neural vs Analytical,30.773540496826172,30.55047607421875,2.386176347732544
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,1.0,Analytical vs GT,15.928216934204102,16.3024959564209,1.1066615581512451
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,1.0,Neural vs GT,15.94737434387207,16.19391441345215,1.1778638362884521
CIFAR10,10000,PatchMLP,convolution_gaussian_1.0,False,True,1.0,Neural vs Analytical,30.397613525390625,30.281774520874023,2.551419973373413
CIFAR10,10000,PatchMLP,denoising,False,True,0.01,Analytical vs GT,80.0,80.0,3.236878001189325e-06
CIFAR10,10000,PatchMLP,denoising,False,True,0.01,Neural vs GT,36.753089904785156,36.195228576660156,2.536482572555542
CIFAR10,10000,PatchMLP,denoising,False,True,0.01,Neural vs Analytical,36.753089904785156,36.195228576660156,2.536482572555542
CIFAR10,10000,PatchMLP,denoising,False,True,0.02,Analytical vs GT,80.0,79.95564270019531,0.3105042278766632
CIFAR10,10000,PatchMLP,denoising,False,True,0.02,Neural vs GT,35.34153366088867,34.73231506347656,1.9362151622772217
CIFAR10,10000,PatchMLP,denoising,False,True,0.02,Neural vs Analytical,35.34153366088867,34.73234176635742,1.9362187385559082
CIFAR10,10000,PatchMLP,denoising,False,True,0.03,Analytical vs GT,80.0,79.70838165283203,1.3355203866958618
CIFAR10,10000,PatchMLP,denoising,False,True,0.03,Neural vs GT,33.52361297607422,33.194766998291016,1.6190381050109863
CIFAR10,10000,PatchMLP,denoising,False,True,0.03,Neural vs Analytical,33.52361297607422,33.19472122192383,1.6190239191055298
CIFAR10,10000,PatchMLP,denoising,False,True,0.04,Analytical vs GT,80.0,79.08928680419922,3.188476324081421
CIFAR10,10000,PatchMLP,denoising,False,True,0.04,Neural vs GT,31.951766967773438,31.854734420776367,1.5079947710037231
CIFAR10,10000,PatchMLP,denoising,False,True,0.04,Neural vs Analytical,31.951766967773438,31.854631423950195,1.507922887802124
CIFAR10,10000,PatchMLP,denoising,False,True,0.05,Analytical vs GT,80.0,78.82865905761719,4.358625411987305
CIFAR10,10000,PatchMLP,denoising,False,True,0.05,Neural vs GT,30.748470306396484,30.761674880981445,1.3461189270019531
CIFAR10,10000,PatchMLP,denoising,False,True,0.05,Neural vs Analytical,30.748470306396484,30.76262664794922,1.3467864990234375
CIFAR10,10000,PatchMLP,denoising,False,True,0.06,Analytical vs GT,80.0,78.30738067626953,4.735213756561279
CIFAR10,10000,PatchMLP,denoising,False,True,0.06,Neural vs GT,29.754638671875,29.863794326782227,1.3834930658340454
CIFAR10,10000,PatchMLP,denoising,False,True,0.06,Neural vs Analytical,29.755434036254883,29.86420440673828,1.3836545944213867
CIFAR10,10000,PatchMLP,denoising,False,True,0.07,Analytical vs GT,80.0,77.02713012695312,6.971467971801758
CIFAR10,10000,PatchMLP,denoising,False,True,0.07,Neural vs GT,29.037113189697266,29.02582550048828,1.3448433876037598
CIFAR10,10000,PatchMLP,denoising,False,True,0.07,Neural vs Analytical,29.037113189697266,29.0266056060791,1.3454407453536987
CIFAR10,10000,PatchMLP,denoising,False,True,0.08,Analytical vs GT,79.99993133544922,76.03280639648438,7.742142677307129
CIFAR10,10000,PatchMLP,denoising,False,True,0.08,Neural vs GT,28.253896713256836,28.33768081665039,1.360827922821045
